ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.901249585314608,0.9055740146044154,0.6444833625218914,0.34782608695652173,0.4518109269490485,0.42605817794513523
Decision Tree,0.900807254229791,0.8625899459406993,0.618208516886931,0.39792060491493386,0.484186313973548,0.4450124114910426
kNN,0.9016919163994249,0.8713177354041663,0.6634429400386848,0.32419659735349715,0.43555555555555553,0.4186512458637529
Naive Bayes,0.8548048214088245,0.8100945416322902,0.4059040590405904,0.5198487712665406,0.45586406962287607,0.37735837569864067
Random Forest (Ensemble),0.8994802609753401,0.9295740004000885,0.5595523581135092,0.6616257088846881,0.606323083585968,0.5517018534196315
